name,address,phone,fax
Carrier Sales Group,"Carrier Sales Group 2012 Sun Valley Drive Virginia Beach, VA  23464 ATTN: ACCOUNTS PAYABLE",800-757-2852,757-961-5381
Cavalry Logistics,"Cavalry Logistics P.O. BOX 2122 Warren, MI 48090 ATTN: ACCOUNTS PAYABLE",866-876-9611,615-815-3523
CDS Transport Inc.,"CDS Transport Inc. PO Box 100 Heber City,UT 84032",770-788-4025,770-788-1125
"Chain Express, Corp.","Chain Express, Corp. 5220 S. University Dr., Suite 107 Davie, FL 33328 ATTN: ACCOUNTS PAYABLE",954-556-6400,305-477-6664
Choptank Transport,"Choptank Transport P.O.BOX 99 Preston, MD 21655 ATTN: ACCOUNTS PAYABLE",410-673-1240,410-673-2448
CHRobinson,"CHRW  Quick Pay Billing PO BOX 3474 CHICAGO, IL 60654 ATTN: ACCOUNTS PAYABLE",813-840-4598,561-953-4158
Circle 8 Logistics,"Circle 8 Logistics P.O. Box 2457 Northlake, IL 60164 ATTN: ACCOUNTS PAYABLE",708-343-6703,708-249-0069
Cleveland Express Transportation,"Cleveland Express Transportation 3091 Rockefeller Ave Cleveland, OH 44115 ATTN: ACCOUNTS PAYABLE",800-860-1102,216-348-0998
Coastal Transportation Services,"Coastal Transportation Services PO BOX 485 Carencro,LA 70520",(877)893-6481,(609)269-2311
Cody Express and Brokerage,"Cody Express and Brokerage 31 Plymouth St. Mansfield, MA 02048",352-486-6430,855-342-2733
"Comcar Logistics,LLC","Comcar Logistics,LLC PO Box 67 Aubumdale,FL 33823",863-967-1101,904-645-0988
Commodity Services Inc,"Commodity Services Inc #6 Krahmer Drive Fairmont, MN 56031",507-238-9411,407-281-9372
Comprehensive Traffic Systems,"Comprehensive Traffic Systems 4860 Robb St. STE 205 Wheat Ridge,CO 80033",303-350-5029,303-432-8995
"Con-Way Multimodal, Inc.","Con-Way Multimodal, Inc. P.O.Box 6820 Portland, OR 97228 ATTN: ACCOUNTS PAYABLE",734-757-2168,734-998-4308
Concept International Transportation,"Concept International Transportation 368 Sycamore Street Buffalo,NY 14204",800-683-6113,716-852-3280
Consolidated Transportation World Inc,"Consolidated Transportation World Inc 147 Summit St.  Bldg 3A Peabody,MA 01960",978-977-0081,978-977-0311
"Convoy Logistics, LLC","Convoy Logistics, LLC P.O. Box 1214 Crossett, AR 71635 ATTN: ACCOUNTS PAYABLE",866-305-3699,501-423-4355
Showtime Logistics,"Courtney Showtime Logistics 9 Linden Spring Lane Bear, DE 19701 ATTN: ACCOUNTS PAYABLE",302-834-8516,302-834-8517
Covenant Transport Solutions,"Covenant Transport Solutions P.O.Box 23968 Chattanooga, TN 37422-2997 ATTN: ACCOUNTS PAYABLE",877-532-4940,574-234-6776
"Cowan Systems, LLC","Cowan Logistics, a division of Cowan Systems, LLC. 4555 Hollins Ferry Rd. Baltimore,MD 21227",800-882-6926,443-575-4706
Cox Truck Brokerage Inc.,"Cox Truck Brokerage Inc. 10448 Dow-Gil Road Ashland, VA 23005",555-555-5555,555-555-5555
Coyote,"Coyote 960 Northpoint Parkway Suite 150 Alpharetta, GA 30005 Email invoice",877-626-9683,847-810-5769
Crowley Logistics Inc,"Crowley Logistics Inc 9487 Regency Square Blvd Jacksonville, Fl 32225",904-726-4399,904-722-5195
"Crown LSP Group, Inc.","Crown LSP Group, Inc. PO BOX 628 Rocky Mount, NC  27802 ATTN: ACCOUNTS PAYABLE",800-426-0162 X-1199,252-985-3226
"Crown Transportation And Logistics, Inc.","Crown Transportation And Logistics, Inc. 135 Distribution Drive Pooler, GA 31322 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
CRST LOGISTICS,"CRST LOSTISTICS PO BOX 3261 CUSTOMER ID-246255 Cedar Rapids, IA 52406-3261 ATTN-CARRIER SETTLEMENTS",555-555-5562,319-390-6229
"CST Lines, Inc.","CST Lines, Inc. P.O.Box 10326 Green Bay, WI  54307 ATTN: ACCOUNTS PAYABLE",920-497-4804,920-497-5907
CTI Freight Services LLC,"CTI Freight Services LLC 10979 Reed Hartman Hwy Suites 336-338 Cincinnati, OH 45242",336-608-4593,513-697-9444
"CTL CorTrans Logistics, LLC","CTL CorTrans Logistics, LLC PO BOX 923449 Norcross, GA 30010-1756",678-969-9529,678-252-6230
Custom Hauling and Brokerage,"Custom Hauling and Brokerage PO Box 487 Walnut Ridge,AR 72476",870-930-5147,800-516-5804
"D.H.T. LOGISTICS, LLC","D.H.T. LOGISTICS, LLC FAX INVOICE TO: 915-921-1243","800-645-7818	",915-921-1243
D&S Logistics,"D&S Logistics, Inc. 833 Bragg Blvd. Fayetteville, NC 28301 ATTN: ACCOUNTS PAYABLE",910-429-2173,910-429-2174
"Dakota Best Brokerage, LLC","Dakota Best Brokerage, LLC 6610 N 10th Ave. Sioux Falls, SD 57104 ATTN: ACCOUNTS PAYABLE",605-261-0607,605-336-6890
Dallas Transports,Dallas Transports,954-558-8414,555-555-5555
DART,"Dart Advantage Logistics P.O. Box 64746 St.Paul, MN 55164-0746 ATTN: ACCOUNTS PAYABLE",800-353-5843,770-932-8457
Data Freight Inc.,"Data Freight Inc. P.O. Box 26167 Shawnee Mission, KS 66225-6167 ATTN: ACCOUNTS PAYABLE",800-255-0446,816-246-0325
DEAN Tucker Farm,"Dean Tucker Farms, Inc. PO BOX 774 Sumner, GA 31789 ATTN: ACCOUNTS PAYABLE",877-776-2586,229-776-1515
Dedicated Carriers,"Dedicated Carriers 4627 Town N Country Blvd Tampa, FL 33615",813-484-0554,952-378-4096
Denney Transport Ltd.,"Denney Transport Ltd. 5000 E 74th Avenue Commerce City,CO 80022",303-962-0393,303-962-0380
"Destination Logistic, LLC","Destination Logistic, LLC PO BOX 523 Princeton Jct,NJ  08550 ATTN: ACCOUNTS PAYABLE",609-716-0006,609-716-0008
"DEW Distribution Services, Inc.","DEW Distribution Services, Inc. PO Box 1421 Elk Grove Village, IL 60009-1421 ATTN: ACCOUNTS PAYABLE",800-837-3391,847-593-3094
Diamond Logistics,"Diamond Logistics P.O.BOX 1467 Selma, CA 93662 ATTN: ACCOUNTS PAYABLE",877-366-6354,559-354-5939
Direct Connect Logistix,"Direct Connect Logistix 212 W 10th Street   SUITE D405 Indianapolis, IN  46202 ATTN: ACCOUNTS PAYABLE",317-218-7777,317-947-0999
Diversified Services,"Diversified Services P.O.BOX 528 Murrysville, PA 15688-0528 ATTN: ACCOUNTS PAYABLE",800-879-8901,412-798-8028
Double B Truck Brokerage Inc.,"Double B Truck Brokerage Inc. P.O. Box 1216 Boerne, TX 78006",830-336-2720,830-755-8290
"Doyle Transportation, Inc.","Doyle Transportation, Inc. 8600 NW South River Drive Miami, FL 33166 ATTN: ACCOUNTS PAYABLE",800-521-9181,305-715-8988
DRT Transportation,"DRT Transportation 850 Helen Drive Lebanon,PA 17042",717-274-2871,717-271-2878
"DSE Transportation Services, LLC","DSE Transportation Services, LLC 2805 Oak Point Dr. Garland, TX 75044 ATTN: ACCOUNTS PAYABLE",972-530-8760,972-530-4190
DUPRE LOGISTICS LLC,DUPRE LOGISTICS LLC email scs@duprelogistics.com,800-865-4047,337-264-1304
DVL,"DVL 4977 Levy Saint-Laurent, Quebec",800-661-9119,514-664-5464
"East West Distributing & Warehouse, Inc.","East West Distribution Warehouse, Inc. 4393 Kevin Walker Dr. Suite 137 Montclaire, VA  22025 ATTN: ACCOUNTS PAYABLE",800-515-0991,703-651-5319
Echo Global Logistics,"Echo Global Logistics 600 West Chicago Avenue Suite 725 Chicago, IL 60610 ATTN: ACCOUNTS PAYABLE",800-354-7993,312-784-7714
Eleets Transportation,"Eleets Transportation 3131 St. Johns Bluff Road South Jacksonville, FL 32246 ATTN: ACCOUNTS PAYABLE",877-997-1616 Ext: 505,904-339-9348
"Elite Expediting, Inc.","Elite Expediting, Inc. 4311 SW 9th Street Des Moines, IA   50315 ATTN: ACCOUNTS PAYABLE",800-289-1240,555-555-5555
Elite Freight Management,"Elite Freight Management P.O. BOX 6651 Aurora, IL 60598 ATTN: ACCOUNTS PAYABLE",630-689-1494,630-405-1148
Elite Logistics Inc.,"Elite Logistics Inc. PO BOX 113 West Fargo,ND 58078",888-281-5179,701-277-4863
Ellison Logistics Inc.,"Ellison Logistics Inc. PO BOX 3227 Rome,GA 30164-3227",706-234-7124,706-234-7450
England Logistics,"England Logistics, Inc. P.O. Box 30130 Salt Lake City, UT 84130-0130 ATTN: ACCOUNTS PAYABLE",314-521-4928,314-754-8340
"EPES Logistic Services, Inc.","EPES LOGISTICS SERVICES, INC. PO Box 35884 Greensboro, NC  27409 ATTN: ACCOUNTS PAYABLE",866-242-2557,336-931-1031
"Estes Forwarding Worldwide, LLC-Truckload","Estes Forwarding Worldwide, LLC-Truckload PO Box 26206 Richmond,VA 23260",877-474-5623,804-200-4265
"Executive Freight Services, LLC","Executive Freight Services, LLC PO BOX 2144 Opelike, AL 36803 ATTN: ACCOUNTS PAYABLE",817-426-9300,817-426-9302
"Exel Transportation Services, Inc.","Exel Transportation Services, Inc. 965 Ridge Lake Blvd Suite 100 Memphis, TN 38120 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
Experienced Logistics,"Experienced Logistics 2260 Heim Hill Rd. Montoursvile,PA 17754",570-244-2332,267-381-8111
"Expert Transportation Services, Inc.","Expert Transportation Services, Inc. 1202 Butler Road Freeport, PA  16229 ATTN: ACCOUNTS PAYABLE",724-295-1202,724-295-1249
"Express Freight, Inc.","Express Freight, Inc. PO BOX 196575 Winter Springs,FL 32708",855-933-9773,407-386-3416
"Express Transport Services, Inc.","Express Transport Services, Inc. P.O. BOX 3758 Central Point, OR 97502 ATTN: ACCOUNTS PAYABLE",800-638-9193,541-842-8137
"Extra Mile Transportation, LLC.","Extra Mile Transportation, LLC. P.O. BOX 300 Buffalo, NY 14231 ATTN: ACCOUNTS PAYABLE",800-741-3206,770-439-9477
"Exxact Express, Inc.","Exxact Express, Inc. PO BOX 95545 Lakeland, FL  95545 ATTN: ACCOUNTS PAYABLE",863-577-1834,863-688-7660
FAC Food Service Logistics,"FAC Food Service Logistics PO BOX 6097 800 Tiffany Blvd Suite 103 Rocky Mount, NC 27802 ATTN: ACCOUNTS PAYABLE",800-285-7004,252-450-4894
"FAK, Inc","FAK, Inc PO BOX 5187 Denver, CO 80217 ATTN: ACCOUNTS PAYABLE",303-288-2917,919-284-8072
FedEx Truckload Brokerage,"FedEx Truckload Brokerage P.O. BOX 5000 Green, OH 44232-5000 ATTN: ACCOUNTS PAYABLE",234-310-4365,901-471-2310
Fetch Logistics Inc.,"Fetch Logistics Inc. 25 Northpointe Parkway Suite 200 Amherst, NY 14228 ATTN: ACCOUNTS PAYABLE",888-240-8654,716-929-3707
"First Choice Transportation, Inc.","First Choice Transportation, Inc. 365 Cloverleaf Circle Killen, AL 35645 ATTN: ACCOUNTS PAYABLE",855-374-3448,256-757-0274
Fitz Mark,"Fitz Mark PO BOX 68847 Indianapolis,IN 46268",317-475-0960,317-375-7880
"Fleet Concepts, Inc.","Fleet Concepts, Inc. PO BOX 2110 Hillsboro, OR 97123 ATTN: ACCOUNTS PAYABLE",800-933-5338,503-726-0525
"FLS Transportation Services, Inc.","FLS Transportation Services, Inc. 420 North Wabash Ave Suite 402 Chicago, IL 60611",877-744-7357,866-954-8758
"Forward Air, Inc.","Forward Air, Inc. P.O. BOX 1058 Greenville, TN 37744",800-736-7765 EXT: 211,423-636-3421
Four Towers Logistics,"Four Towers Logistics 7100 NW 12 St Suite 200 Miami, FL 33126 ATTN: ACCOUNTS PAYABLE",305-513-3324,866-423-7630
"Freedom Trans USA,LLC","Freedom Trans USA,LLC 2093 Industrial Drive Gainesville, GA 30504",678-207-0710,770-534-7079
Freight Center,"Freight Center Carrier Services Department Trinity, FL 34655",800-716-7882,727-450-7808
"Freight Distribution, Inc.","Freight Distribution, Inc. PO BOX 1005 LATHAM, NY  12110 ATTN: ACCOUNTS PAYABLE",800-945-1984,518-785-3434
"Freight Force, Inc.","Freight Force, Inc. 2560 Woodland Drive Anaheim, CA 92801 ATTN: ACCOUNTS PAYABLE",954-942-2422 PHONE#2,772-564-0203
Freight Logistics,Freight Logistics PO BOX 1712 MEDFORD OR 97501,(800) 866-7882,(541) 734-5621
Freight Logistics-CO,"Freight Logistics-CO 1950 South Rosemary Street Denver,CO 80231",720-377-9460,720-377-9463
Freightquote,"Freightquote.com, Inc. 901 West Carondelet Drive Kansas City, MO 64114 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
"FreightValue ,Inc.","FreightValue , Inc. Attn: Janell Tarini % I/L Payables PO Box 10048 Fort Smith, AR 72917-0048 ATTN: ACCOUNTS PAYABLE",877-279-8144,479-494-6800
"Frontline Logistics, Inc.","Frontline Logistics, Inc. P.O. BOX 756 South Lyon, MI 48178 ATTN: ACCOUNTS PAYABLE",800-245-6632,734-449-9596
"FSP, Inc.","FSP, Inc. 116 South Acantilado Drive St.George, UT   84790 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
"FTL Logistics, LLC","FTL Logistics, LLC PO BOX 9169 Louisville, KY  40209-0169 ATTN: ACCOUNTS PAYABLE",870-777-6540 X-1600,918-574-6812
Gem Medical Corp,"Gem Medical Corp 11295 NW 20th Dr Coral Springs,FL 33071",555-555-5555,555-555-5555
Genco ATC,"Genco ATC 1400 Lombard Ave. Ste 204 Green Bay,WI 54304",920-593-2030,920-593-2031
Genpro Inc.,Genpro Inc. 201 Route 17 North Suite 900 Rutherford NJ 07070,(800) 243-6770,(201) 623-2454
Genuine Parts Company,"Genuine Parts Company 2704 Bouldercrest Rd Atlanta, GA  30316 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
"Gianco Logistics, LLC","Gianco Logistics, LLC 1510 22nd Ave NE Naples, FL 34120 ATTN: ACCOUNTS PAYABLE",239-354-1233,239-445-8989
"Giant Freight Services,Inc","Giant Freight Services,Inc 40047 County Rd 54 East East Zephyrhills,FL 33540",813-788-1500,813-788-4155
"GlobalTranz Enterprises, LLC","GlobalTranz Enterprises, LLC P.O. BOX 71730 Phoenix, AZ 85050 ATTN: ACCOUNTS PAYABLE",866-275-1407,602-443-5819 ACCT-ING
GLW Transport Inc.,"GLW Transport Inc. 126 Whistle Drive Harrison City,PA 15636",724-744-1209,724-744-1210
GMG TRANSWEST CORP,"GMG TRANSWEST CORP 20 Brandywine Drive Deer Park, NY 11729 ATTN: ACCOUNTS PAYABLE",888-322-9990,631-964-0025 or 0026
"GPC Freight Solutions, Inc.","GPC Freight Solutions, Inc. 2704 Bouldercrest Road Atlanta, GA 30316 ATTN: ACCOUNTS PAYABLE",404-243-1430 EXT# 431,404-328-9492
Graystone  Whse & Transportation LLC,"Graystone  Whse & Transportation LLC 3530 4th Street Blvd NW Hickory, NC 28601 ATTN: ACCOUNTS PAYABLE",800-230-6907,704-658-9728
Greatwide Transportation Management Serv.,"Greatwide Transportation Management Serv. PO Box 750 Anderson,SC 29622",800-937-6838,864-375-1292
Greatwide Truckoad Management-Brokerage S,Greatwide Truckoad Management-Brokerage S 2150 Cabot Boulevard West Langhorne PA 19047,800-283-9700,800-488-5452
GST Logistics,"GST Logistics P.O. BOX 4149 Cartersville, GA 30120 ATTN: ACCOUNTS PAYABLE",866-457-1144,678-535-1146
"GT Worldwide Logistics, Inc.","GT Worldwide Logistics, Inc. 306 E Main St. Carnegie, PA 15106 ATTN: ACCOUNTS PAYABLE",866-966-4999,412-429-4797
GTD Logistics,"GTD Logistics 12621 Cerise Ave Hawthorne, CA 90250",209-704-3575,925-334-7475
"GW Palmer Logistics, LLC","GW Palmer Logistics, LLC PO BOX 2316 Batesville, AR 72503",870-793-0006,870-251-5277
Hamnmonds Produce,"Hamnmonds Produce P.O. Box 5447 Plymouth, MI 48170 ATTN: ACCOUNTS PAYABLE",404-362-0491,734-454-1044
Harrison Transport Logistics,"Harrison Transport Logistics 6740 W Deer Valley Road Ste D107 PMB 256 Glendale, AZ 85310-6176",555-555-5555,555-555-5555
Harte-Hanks Logistics,"Harte-Hanks Logistics PO BOX 9349 Louisville, KY  40209 ATTN: ACCOUNTS PAYABLE",800-234-4487,954-281-1480
Hartley Transportation LLC,"Hartley Transportation LLC 110 Sheep Davis Road Pembroke, NH 03275 ATTN: ACCOUNTS PAYABLE",800-427-8539,603-228-9555
Headhaul.com LLC,"Headhaul.com LLC 10770 El Monte Ste 101 Leawood, KS 66211 ATTN: ACCOUNTS PAYABLE",877-731-5977,888-467-4077
Howard Sheppard,"Howard Sheppard PO BOX 755 Sandersville,GA 31082",706-922-5000,478-240-9991
IDA-Core Trans Inc.,"IDA-Core Trans Inc. 13601 W McMillan Rd.Ste 102-311 Boise, ID 83713",208-407-5793,208-939-9348
"IDAHO TRUCK SERVICE, INC.","IDAHO TRUCK SERVICE, INC IONA, ID 83427 P.O. BOX 231",800-736-4800,555-555-5555
"Infiniti Logisictis, Inc.","Infiniti Logisictis, Inc. 4701 College Blvd #104 Leawood, KS  66211",555-555-5555,555-555-5555
Integra Logistics Services,"Integra Logistics Services 4760 World Houston Parkway Suite 180 Houston, TX 77032 ATTN: ACCOUNTS PAYABLE",866-684-9999,888-818-8937
Integrity Logistics,"Integrity Logistics 25260 SW Parkway Avenue Wilsonville, OR 97070 ATTN: ACCOUNTS PAYABLE",503-582-4405,503-582-4455
"Interstate Logistics, Systems, Inc.","Interstate Logistics, Systems, Inc. PO Box 10 Mountain View, WY 82939 ATTN: ACCOUNTS PAYABLE",440-891-8636,440-891-1447
